"","Var1","Freq"
"264","2016-02-10",184
"265","2016-02-13",1
"266","2016-02-14",7
"267","2016-02-15",310
"268","2016-02-16",138
"269","2016-02-17",63
"270","2016-02-18",257
"271","2016-02-19",638
"272","2016-02-21",15
"273","2016-02-22",234
"274","2016-02-23",902
"275","2016-02-24",570
"276","2016-02-25",273
"277","2016-02-26",179
"278","2016-02-28",190
"279","2016-02-29",164
"280","2016-03-01",55
"281","2016-03-05",10
"282","2016-03-08",1
"283","2016-03-09",28
"284","2016-03-11",6
"285","2016-03-15",103
"286","2016-03-16",129
"287","2016-03-17",4
"288","2016-03-18",8
"289","2016-03-19",10
"290","2016-03-20",297
"291","2016-03-21",276
"292","2016-03-22",9
"293","2016-03-23",34
"294","2016-03-24",149
"295","2016-03-25",52
"296","2016-03-28",17
"297","2016-03-29",28
"298","2016-03-30",931
"299","2016-03-31",3209
"300","2016-04-01",3519
"301","2016-04-02",77
"302","2016-04-03",84
"303","2016-04-04",3580
"304","2016-04-05",2854
"305","2016-04-06",5944
"306","2016-04-07",7085
"307","2016-04-08",1622
"308","2016-04-10",158
"309","2016-04-11",81
"310","2016-04-12",325
"311","2016-04-14",234
"312","2016-04-15",882
"313","2016-04-16",534
"314","2016-04-17",2222
"315","2016-04-18",129
"316","2016-04-19",506
"317","2016-04-20",280
"318","2016-04-21",276
"319","2016-04-22",400
"320","2016-04-24",75
"321","2016-04-25",249
"322","2016-04-26",2981
"323","2016-04-27",386
"324","2016-04-28",3579
"325","2016-04-29",4412
"326","2016-05-01",5853
"327","2016-05-02",4955
"328","2016-05-03",2914
"329","2016-05-04",402
"330","2016-05-05",2702
"331","2016-05-06",1106
"332","2016-05-07",8
"333","2016-05-08",496
"334","2016-05-09",2544
"335","2016-05-10",5748
"336","2016-05-11",6130
"337","2016-05-12",8281
"338","2016-05-13",11058
"339","2016-05-14",4821
"340","2016-05-15",1709
"341","2016-05-16",4620
"342","2016-05-17",3365
"343","2016-05-18",11015
"344","2016-05-19",4721
"345","2016-05-20",7334
"346","2016-05-21",912
"347","2016-05-22",2250
"348","2016-05-23",7018
"349","2016-05-24",10800
"350","2016-05-25",6374
"351","2016-05-26",7756
"352","2016-05-27",9198
"353","2016-05-28",2029
"354","2016-05-29",3444
"355","2016-05-30",3772
"356","2016-05-31",10055
"357","2016-06-01",10788
"358","2016-06-02",5831
"359","2016-06-03",15471
"360","2016-06-04",517
"361","2016-06-05",7844
